"NAME","Active","Apex Validation Method","Comments","Error Text","Record Type 1","Record Type 2","Record Type 3","SOQL Where Clause","Severity","Validation Type"
"FABS47.1","true","","","FundingOpportunityNumber must be blank for non-grants/non-cooperative agreements (AssistanceType = 06, 07, 08, 09, 10, or 11).  The Funding Opportunity Number may be found on the Funding Opporutnity.","true","true","true","gr_funding_opportunity_number__c  <> ''
    AND gr_assistance_type__c  IN ('06', '07', '08', '09', '10', '11')","Fatal Error","SOQL"
"FABS47.2","true","","","FundingOpportunityNumber is required for all grants and cooperative agreements (AssistanceType = 02, 03, 04, or 05). Agencies may provide the value Not Applicable when a grant or cooperative agreement is not competitive and discretionary.","true","true","true","gr_funding_opportunity_number__c = ''
    AND gr_assistance_type__c IN ('02', '03', '04', '05')","Warning","SOQL"
"FABS47.3","true","FABS47_3Rule","","When provided, FundingOpportunityNumber must only contain letters (a-z, lowercase or uppercase), numerals (0-9), or the '-' character, to ensure consistency with Grants.gov FundingOpportunityNumber formatting requirements.","true","true","true","","Warning","Apex"
"FABS47.4","false","","When provided, FundingOpportunityNumber should match a FundingOpportunityNumber within an existing notice of funding opportunity on Grants.gov.","","true","true","true","","Warning","Not Configured"
"FABS48.1","true","FABS48_1Rule","","FundingOpportunityGoalsText must be blank for non-grants/non-cooperative agreements (AssistanceType = 06, 07, 08, 09, 10, or 11).  The Assistance Type may be found on the related Program and the Funding Opportunity Goals Text on the Funding Opportunity.","true","true","true","","Fatal Error","Apex"
"FABS48.2","true","FABS48_2Rule","","FundingOpportunityGoalsText is required for all grants and cooperative agreements (AssistanceType = 02, 03, 04, or 05). Agencies may provide the value Not Applicable when a grant or cooperative agreement is not competitive and discretionary.","true","true","true","","Warning","Apex"
"FABS49","false","","A submitted Financial Assistance award must have a (derived) AwardingAgencyCode that is consistent with the toptier component of the agency selected at the outset of the FABS submission. This comparison only takes place at the TopTier level, not the SubTier level.","","true","true","true","","Fatal Error","Not Configured"
"FABSREQ1","true","FABSREQ1Rule","","AwardDescription is required for all submissions, but was not provided in this row.","true","true","true","","Fatal Error","Apex"
"FABSREQ10","true","","","This field is required for all submissions but was not provided in this row (AssistanceListingNumber).","true","true","true","gr_assistance_listing_number__c = ''","Fatal Error","SOQL"
"FABSREQ11","true","","","ActionType is required for all submissions but was not provided in this row.","true","true","true","gr_action_type__c = ''","Fatal Error","SOQL"
"FABSREQ3","true","","","RecordType is required for all submissions, but was not provided in this row.","true","true","true","gr_record_type__c = ''","Fatal Error","SOQL"
"FABSREQ4","true","","","BusinessFundsIndicator is required for all submissions, but was not provided in this row.","true","true","true","gr_business_funds_indicator__c = ''","Fatal Error","SOQL"
"FABSREQ5","true","","","LegalEntityCountryCode is required for all submissions, but was not provided in this row.","true","true","true","gr_legal_entity_country_code__c = ''","Fatal Error","SOQL"
"FABSREQ6","true","","","BusinessTypes is required for all submissions, but was not provided in this row.","true","true","true","gr_business_types__c = ''","Fatal Error","SOQL"
"FABSREQ7","true","","","AssistanceType is required for all submissions, but was not provided in this row.","true","true","true","gr_assistance_type__c = ''","Fatal Error","SOQL"
"FABSREQ8","true","","","ActionDate is required for all submissions, but was not provided in this row.","true","true","true","gr_action_date__c = NULL","Fatal Error","SOQL"
"FABSREQ9","true","","","AwardeeOrRecipientLegalEntityName is required for all submissions, but was not provided in this row.","true","true","true","gr_awardee_or_recipient_legal__c = ''","Fatal Error","SOQL"
